NomDep;NomLoc;zip2010;zip2022
SAN CRISTOBAL;ÑANDUCITA;nanducitaa3h;NANDUCITA
IRIONDO;OLIVEROS;oliverosa2v;OLIVEROS
SAN CRISTOBAL;PALACIOS;palaciosa3v;PALACIOS
VERA;PARAJE 29;paraje29a3v;PARAJE29
LA CAPITAL;PARAJE CHACO CHICO;pjechacochicoa2h;PARAJECHACOCHICO
LA CAPITAL;PARAJE LA COSTA;Pjelacostaa2v;PARAJELACOSTA
GENERAL OBLIGADO;PARAJE SAN MANUEL;PARAJESANMANUEL;PARAJESANMANUEL
CONSTITUCION;PAVON;pavona3h;PAVON
CONSTITUCION;PAVON ARRIBA;PavonArribaa3h;PAVONARRIBA
SAN JUSTO;PEDRO GOMEZ CELLO;pedrogomezcelloa3v;PEDROGOMEZCELLO
ROSARIO;PEREZ;pereza1h;PEREZ
CONSTITUCION;PEYRANO;Peyranoa3v;PEYRANO
SAN MARTIN;PIAMONTE;piamontea2h;PIAMONTE
LAS COLONIAS;PILAR;PilarA2h;PILAR
ROSARIO;PIÑERO;pineroa3h;PINERO
CASTELLANOS;PLAZA CLUCELLAS;plazaclucellasa2h;PLAZACLUCELLAS
LAS COLONIAS;PLAZA MATILDE;plazamatildea3h;PLAZAMATILDE
